EntryTime,ExitTime,Type,Strike,EntryPremium,ExitPremium,Contracts,Status,PnL,PnL%,Balance,Delta,Gamma,Theta
2025-10-09 16:00:00+00:00,2025-10-09 17:45:00+00:00,put,669,1.68,1.42,1,Loss_Trail,-25.08,-14.97,974.92,-0.37,0.0567,-1.37
2025-10-10 14:00:00+00:00,2025-10-10 19:15:00+00:00,put,671,2.49,15.0,1,Win_TP_Moon,1251.12,503.46,2226.03,-0.42,0.0479,-1.15
2025-10-10 19:15:00+00:00,2025-10-10 19:30:00+00:00,call,658,0.39,0.26,11,Loss_Trail,-152.21,-35.04,2073.83,0.24,0.1106,-2.63
2025-10-13 13:30:00+00:00,2025-10-13 14:15:00+00:00,call,663,2.51,2.21,1,Loss_Trail,-29.59,-11.8,2044.24,0.42,0.0469,-1.16
2025-10-13 14:15:00+00:00,2025-10-13 14:45:00+00:00,call,663,2.21,1.84,1,Loss_Trail,-37.24,-16.84,2006.99,0.4,0.0493,-1.21
2025-10-13 14:45:00+00:00,2025-10-13 17:15:00+00:00,call,662,2.22,2.8,1,Win_Trail,57.79,25.99,2064.78,0.41,0.0521,-1.28
2025-10-13 18:00:00+00:00,2025-10-13 18:30:00+00:00,call,665,1.19,0.82,3,Loss_Trail,-110.08,-30.86,1954.7,0.37,0.0816,-2.0
2025-10-13 18:30:00+00:00,2025-10-13 18:45:00+00:00,call,665,0.82,0.45,4,Loss_SL,-149.49,-45.47,1805.21,0.32,0.0888,-2.16
2025-10-13 18:45:00+00:00,2025-10-13 19:45:00+00:00,call,664,0.7,0.29,5,EOD_Expire,-208.69,-59.24,1596.52,0.3,0.0955,-2.32
2025-10-14 13:30:00+00:00,2025-10-14 19:30:00+00:00,call,656,2.34,4.87,1,Win_Trail,253.52,108.43,1850.04,0.4,0.0469,-1.13
2025-10-15 13:30:00+00:00,2025-10-15 15:00:00+00:00,call,669,2.53,2.65,1,Win_Trail,12.33,4.88,1862.37,0.42,0.0464,-1.17
2025-10-15 16:00:00+00:00,2025-10-15 17:30:00+00:00,put,664,1.85,2.61,2,Win_Trail,152.29,41.09,2014.66,-0.4,0.0585,-1.39
2025-10-15 18:00:00+00:00,2025-10-15 19:00:00+00:00,call,666,1.16,0.93,3,Loss_Trail,-68.51,-19.71,1946.16,0.37,0.081,-1.99
2025-10-15 19:00:00+00:00,2025-10-15 19:30:00+00:00,call,667,0.59,0.21,6,Loss_SL,-226.18,-63.92,1719.98,0.29,0.1038,-2.54
2025-10-16 13:30:00+00:00,2025-10-16 14:00:00+00:00,call,669,2.62,1.91,1,Loss_Trail,-70.82,-27.01,1649.15,0.43,0.0467,-1.17
2025-10-16 14:00:00+00:00,2025-10-16 14:15:00+00:00,put,664,2.34,1.86,1,Loss_Trail,-48.34,-20.64,1600.81,-0.4,0.048,-1.13
2025-10-16 14:15:00+00:00,2025-10-16 14:30:00+00:00,put,665,2.23,1.62,1,Loss_Trail,-61.25,-27.41,1539.57,-0.4,0.0488,-1.16
2025-10-16 14:30:00+00:00,2025-10-16 16:45:00+00:00,put,666,1.97,3.87,1,Win_Trail,189.66,96.27,1729.22,-0.37,0.0486,-1.16
2025-10-16 16:45:00+00:00,2025-10-16 17:15:00+00:00,put,661,1.34,1.12,2,Loss_Trail,-42.43,-15.88,1686.79,-0.34,0.0619,-1.46
2025-10-16 18:00:00+00:00,2025-10-16 18:30:00+00:00,put,656,0.86,0.34,3,Loss_SL,-157.32,-60.97,1529.47,-0.3,0.075,-1.76
2025-10-16 18:30:00+00:00,2025-10-16 18:45:00+00:00,put,658,0.8,0.52,3,Loss_Trail,-83.68,-34.85,1445.8,-0.31,0.0884,-2.08
2025-10-16 18:45:00+00:00,2025-10-16 19:30:00+00:00,put,659,0.81,0.7,3,Loss_Trail,-32.02,-13.18,1413.77,-0.33,0.0998,-2.36
2025-10-17 13:30:00+00:00,2025-10-17 14:30:00+00:00,call,661,2.32,2.79,1,Win_Trail,47.29,20.39,1461.07,0.4,0.0465,-1.14
2025-10-17 14:30:00+00:00,2025-10-17 15:00:00+00:00,call,662,2.35,1.73,1,Loss_Trail,-61.92,-26.37,1399.14,0.42,0.0511,-1.26
2025-10-17 16:00:00+00:00,2025-10-17 16:30:00+00:00,call,665,1.66,1.37,1,Loss_Trail,-29.32,-17.68,1369.82,0.37,0.0576,-1.42
2025-10-17 16:30:00+00:00,2025-10-17 17:00:00+00:00,call,664,1.73,1.28,1,Loss_Trail,-44.9,-25.95,1324.92,0.4,0.0631,-1.55
2025-10-17 18:00:00+00:00,2025-10-17 18:30:00+00:00,call,666,0.93,0.88,2,Loss_Trail,-9.47,-5.11,1315.45,0.31,0.0762,-1.87
2025-10-17 18:30:00+00:00,2025-10-17 19:15:00+00:00,call,666,0.88,0.76,2,Loss_Trail,-24.06,-13.68,1291.39,0.33,0.0904,-2.21
2025-10-17 19:15:00+00:00,2025-10-17 19:30:00+00:00,call,667,0.44,0.2,5,Loss_SL,-122.01,-55.21,1169.38,0.26,0.1135,-2.77
2025-10-20 13:30:00+00:00,2025-10-20 15:45:00+00:00,call,671,2.38,2.54,1,Win_Trail,16.01,6.71,1185.39,0.4,0.0459,-1.16
2025-10-20 19:15:00+00:00,2025-10-20 19:30:00+00:00,put,670,0.48,0.37,4,Loss_Trail,-47.46,-24.52,1137.93,-0.27,0.1157,-2.84
2025-10-21 13:45:00+00:00,2025-10-21 16:45:00+00:00,call,673,2.28,1.73,1,Loss_Trail,-54.75,-24.0,1083.18,0.39,0.0464,-1.18
2025-10-21 18:45:00+00:00,2025-10-21 19:00:00+00:00,put,670,0.7,0.55,3,Loss_Trail,-44.5,-21.28,1038.67,-0.3,0.0931,-2.28
2025-10-21 19:00:00+00:00,2025-10-21 19:15:00+00:00,put,670,0.55,0.43,3,Loss_Trail,-34.78,-21.13,1003.89,-0.27,0.0995,-2.44
2025-10-21 19:15:00+00:00,2025-10-21 19:30:00+00:00,put,670,0.43,0.26,4,Loss_Trail,-68.88,-39.79,935.01,-0.25,0.1108,-2.72
2025-10-22 13:30:00+00:00,2025-10-22 14:45:00+00:00,put,670,2.5,2.94,1,Win_Trail,44.12,17.63,979.13,-0.41,0.0459,-1.1
2025-10-22 14:45:00+00:00,2025-10-22 15:45:00+00:00,put,668,2.06,2.21,1,Win_Trail,14.59,7.08,993.72,-0.39,0.0504,-1.21
2025-10-22 16:00:00+00:00,2025-10-22 17:45:00+00:00,put,666,1.63,2.64,1,Win_Trail,100.83,61.92,1094.55,-0.36,0.0567,-1.36
2025-10-22 18:00:00+00:00,2025-10-22 19:45:00+00:00,call,666,1.2,1.93,1,EOD_Expire,72.83,60.74,1167.38,0.37,0.0816,-2.01
2025-10-23 13:30:00+00:00,2025-10-23 15:30:00+00:00,call,672,2.33,1.56,1,Loss_Trail,-76.78,-32.99,1090.6,0.39,0.0456,-1.15
2025-10-27 18:30:00+00:00,2025-10-27 19:00:00+00:00,call,686,0.87,0.64,2,Loss_Trail,-47.77,-27.32,1042.83,0.32,0.0869,-2.25
2025-10-27 19:00:00+00:00,2025-10-27 19:15:00+00:00,call,686,0.64,0.5,3,Loss_Trail,-41.95,-22.01,1000.88,0.3,0.1025,-2.65
2025-10-27 19:15:00+00:00,2025-10-27 19:45:00+00:00,call,686,0.5,0.34,4,EOD_Expire,-60.2,-30.38,940.68,0.28,0.114,-2.95
2025-10-28 13:30:00+00:00,2025-10-28 15:15:00+00:00,call,688,2.59,1.91,1,Loss_Trail,-67.47,-26.08,873.21,0.42,0.0451,-1.2
2025-10-28 16:00:00+00:00,2025-10-28 19:00:00+00:00,call,688,1.78,1.47,1,Loss_Trail,-30.16,-16.98,843.05,0.38,0.0561,-1.48
2025-10-28 19:00:00+00:00,2025-10-28 19:30:00+00:00,call,690,0.65,0.19,2,Loss_SL,-92.11,-70.56,750.94,0.3,0.1026,-2.69
2025-10-29 18:00:00+00:00,2025-10-29 18:15:00+00:00,put,686,1.2,0.95,1,Loss_Trail,-25.03,-20.81,725.91,-0.36,0.0782,-1.99
2025-10-29 18:15:00+00:00,2025-10-29 18:45:00+00:00,put,686,0.95,1.48,1,Win_Trail,52.81,55.45,778.72,-0.32,0.0799,-2.04
2025-10-29 18:45:00+00:00,2025-10-29 19:30:00+00:00,put,684,0.7,0.39,2,Loss_SL,-62.05,-44.5,716.68,-0.29,0.0906,-2.31
2025-10-30 13:30:00+00:00,2025-10-30 13:45:00+00:00,put,680,2.3,1.4,1,Loss_Trail,-89.33,-38.87,627.35,-0.38,0.0443,-1.1
2025-10-30 13:45:00+00:00,2025-10-30 14:30:00+00:00,put,683,2.42,2.13,1,Loss_Trail,-28.73,-11.89,598.62,-0.4,0.0456,-1.14
2025-10-30 14:30:00+00:00,2025-10-30 16:00:00+00:00,put,683,2.13,1.76,1,Loss_Trail,-36.55,-17.17,562.07,-0.38,0.048,-1.2
2025-10-30 18:00:00+00:00,2025-10-30 19:45:00+00:00,put,681,1.07,1.3,1,EOD_Expire,23.44,21.91,585.52,-0.34,0.0765,-1.93
2025-10-31 13:30:00+00:00,2025-10-31 14:30:00+00:00,put,681,2.35,1.72,1,Loss_Trail,-63.24,-26.86,522.27,-0.39,0.0445,-1.1
2025-10-31 14:30:00+00:00,2025-10-31 17:45:00+00:00,put,682,2.08,2.61,1,Win_Trail,52.7,25.36,574.98,-0.38,0.0478,-1.2
2025-10-31 18:00:00+00:00,2025-10-31 19:45:00+00:00,call,684,1.08,0.1,1,EOD_Expire,-98.3,-91.17,476.67,0.34,0.077,-1.99
2025-11-03 14:30:00+00:00,2025-11-03 15:30:00+00:00,put,681,2.15,2.37,1,Win_Trail,22.05,10.28,498.73,-0.38,0.0483,-1.2
2025-11-03 16:00:00+00:00,2025-11-03 17:15:00+00:00,call,684,2.02,1.68,1,Loss_Trail,-33.32,-16.51,465.4,0.42,0.0578,-1.51
